chapter_id,outline_status,draft_status,review_status,anonymization_status,word_count,last_review_date
ch01,complete,scaffold_complete,outline_locked,planned,113,2026-02-08
ch02,complete,scaffold_complete,outline_locked,planned,94,2026-02-08
ch03,complete,scaffold_complete,outline_locked,planned,93,2026-02-08
ch04,complete,scaffold_complete,outline_locked,planned,103,2026-02-08
ch05,complete,scaffold_complete,outline_locked,planned,87,2026-02-08
ch06,complete,scaffold_complete,outline_locked,planned,89,2026-02-08
ch07,complete,scaffold_complete,outline_locked,planned,83,2026-02-08
ch08,complete,scaffold_complete,outline_locked,planned,84,2026-02-08
ch09,complete,scaffold_complete,outline_locked,planned,123,2026-02-08
ch10,complete,polished_sample,review_complete,reviewed,1809,2026-02-08
ch11,complete,scaffold_complete,outline_locked,planned,113,2026-02-08
ch12,complete,polished_sample,review_complete,reviewed,1452,2026-02-08
ch13,complete,scaffold_complete,outline_locked,planned,127,2026-02-08
ch14,complete,scaffold_complete,outline_locked,planned,83,2026-02-08
ch15,complete,scaffold_complete,outline_locked,planned,84,2026-02-08
ch16,complete,scaffold_complete,outline_locked,planned,87,2026-02-08
ch17,complete,scaffold_complete,outline_locked,planned,92,2026-02-08
